"Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2012&region=1-1&cases=ref2012&start=2009&end=2035&f=A&linechart=ref2012-d020112c.3-3-AEO2012.1-1~ref2012-d020112c.4-3-AEO2012.1-1~ref2012-d020112c.5-3-AEO2012.1-1~ref2012-d020112c.6-3-AEO2012.1-1~ref2012-d020112c.9-3-AEO2012.1-1~ref2012-d020112c.10-3-AEO2012.1-1~ref2012-d020112c.11-3-AEO2012.1-1~ref2012-d020112c.12-3-AEO2012.1-1~ref2012-d020112c.13-3-AEO2012.1-1~ref2012-d020112c.16-3-AEO2012.1-1~ref2012-d020112c.17-3-AEO2012.1-1~ref2012-d020112c.18-3-AEO2012.1-1~ref2012-d020112c.19-3-AEO2012.1-1~ref2012-d020112c.20-3-AEO2012.1-1~ref2012-d020112c.21-3-AEO2012.1-1~ref2012-d020112c.22-3-AEO2012.1-1~ref2012-d020112c.23-3-AEO2012.1-1~ref2012-d020112c.27-3-AEO2012.1-1~ref2012-d020112c.28-3-AEO2012.1-1~ref2012-d020112c.29-3-AEO2012.1-1~ref2012-d020112c.30-3-AEO2012.1-1~ref2012-d020112c.31-3-AEO2012.1-1~ref2012-d020112c.32-3-AEO2012.1-1~ref2012-d020112c.33-3-AEO2012.1-1~ref2012-d020112c.34-3-AEO2012.1-1~ref2012-d020112c.37-3-AEO2012.1-1~ref2012-d020112c.38-3-AEO2012.1-1~ref2012-d020112c.39-3-AEO2012.1-1~ref2012-d020112c.40-3-AEO2012.1-1~ref2012-d020112c.45-3-AEO2012.1-1~ref2012-d020112c.46-3-AEO2012.1-1~ref2012-d020112c.47-3-AEO2012.1-1~ref2012-d020112c.48-3-AEO2012.1-1~ref2012-d020112c.49-3-AEO2012.1-1~ref2012-d020112c.50-3-AEO2012.1-1~ref2012-d020112c.51-3-AEO2012.1-1~ref2012-d020112c.52-3-AEO2012.1-1~ref2012-d020112c.53-3-AEO2012.1-1~ref2012-d020112c.54-3-AEO2012.1-1~ref2012-d020112c.55-3-AEO2012.1-1~ref2012-d020112c.70-3-AEO2012.1-1~ref2012-d020112c.71-3-AEO2012.1-1~ref2012-d020112c.72-3-AEO2012.1-1~ref2012-d020112c.73-3-AEO2012.1-1~ref2012-d020112c.76-3-AEO2012.1-1~ref2012-d020112c.77-3-AEO2012.1-1~ref2012-d020112c.78-3-AEO2012.1-1~ref2012-d020112c.79-3-AEO2012.1-1~ref2012-d020112c.80-3-AEO2012.1-1~ref2012-d020112c.83-3-AEO2012.1-1~ref2012-d020112c.84-3-AEO2012.1-1~ref2012-d020112c.85-3-AEO2012.1-1~ref2012-d020112c.86-3-AEO2012.1-1~ref2012-d020112c.87-3-AEO2012.1-1~ref2012-d020112c.88-3-AEO2012.1-1~ref2012-d020112c.89-3-AEO2012.1-1~ref2012-d020112c.90-3-AEO2012.1-1~ref2012-d020112c.95-3-AEO2012.1-1~ref2012-d020112c.96-3-AEO2012.1-1~ref2012-d020112c.97-3-AEO2012.1-1~ref2012-d020112c.98-3-AEO2012.1-1~ref2012-d020112c.99-3-AEO2012.1-1~ref2012-d020112c.100-3-AEO2012.1-1~ref2012-d020112c.101-3-AEO2012.1-1~ref2012-d020112c.102-3-AEO2012.1-1~ref2012-d020112c.105-3-AEO2012.1-1~ref2012-d020112c.106-3-AEO2012.1-1~ref2012-d020112c.107-3-AEO2012.1-1~ref2012-d020112c.108-3-AEO2012.1-1~ref2012-d020112c.112-3-AEO2012.1-1~ref2012-d020112c.113-3-AEO2012.1-1~ref2012-d020112c.114-3-AEO2012.1-1~ref2012-d020112c.115-3-AEO2012.1-1~ref2012-d020112c.116-3-AEO2012.1-1~ref2012-d020112c.117-3-AEO2012.1-1~ref2012-d020112c.118-3-AEO2012.1-1~ref2012-d020112c.119-3-AEO2012.1-1~ref2012-d020112c.120-3-AEO2012.1-1~ref2012-d020112c.121-3-AEO2012.1-1~ref2012-d020112c.122-3-AEO2012.1-1&sourcekey=0"
"Wed May 27 2026 16:35:17 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2010-2035)"
Jet Fuel,"Energy Prices: Average Price to All Users: Jet Fuel": Reference case,,"2010 $/mill Btu",13.026085,16.59112,22.81279,22.212904,22.34701,23.773823,24.557827,24.898544,25.306257,25.472391,25.63904,25.937769,26.190626,26.389469,26.575077,26.79397,27.135464,27.369673,27.527185,27.700245,28.029671,28.378292,29.022614,29.421122,29.015024,29.306467,29.785465,"2.4%"
Distillate Fuel Oil,"Energy Prices: Average Price to All Users: Distillate Fuel Oil": Reference case,,"2010 $/mill Btu",18.288586,21.380684,26.762194,26.766031,25.273968,26.822668,27.661493,28.04426,28.452135,28.759106,28.918743,29.18956,29.466516,29.689257,29.920662,30.162357,30.614748,30.904058,30.921061,31.157434,31.482529,31.874723,32.582447,33.065601,32.469208,32.554768,33.050537,"1.8%"
Residual Fuel Oil,"Energy Prices: Average Price to All Users: Residual Fuel Oil": Reference case,,"2010 $/mill Btu",11.315013,9.930164,14.161082,14.413505,14.506831,15.870025,16.811756,17.288414,17.614061,17.788601,18.015303,18.185375,18.382366,18.426086,18.590143,18.699806,18.865726,18.964273,19.044004,19.223839,19.440023,19.557386,19.699516,19.121372,18.811337,19.063566,19.424362,"2.7%"
Natural Gas,"Energy Prices: Average Price to All Users: Natural Gas": Reference case,,"2010 $/mill Btu",9.15199,8.638514,8.136068,7.913277,7.796192,7.605597,7.704526,7.693402,7.669425,7.730438,7.821851,7.935827,8.223429,8.460268,8.60675,8.675863,8.80014,8.927229,8.98871,9.068933,9.165532,9.322477,9.519527,9.684851,9.792345,10.074496,10.328221,"0.7%"
Metallurgical Coal,"Energy Prices: Average Price to All Users: Metallurgical Coal": Reference case,,"2010 $/mill Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Other Coal,"Energy Prices: Average Price to All Users: Other Coal": Reference case,,"2010 $/mill Btu",3.228462,3.266222,3.561776,3.63149,3.498079,3.502499,3.596472,3.561134,3.589139,3.588332,3.577468,3.544416,3.526167,3.51722,3.551705,3.566589,3.582485,3.59251,3.604604,3.636756,3.664881,3.687771,3.709021,3.732565,3.737552,3.779691,3.834142,"0.6%"
Coal to Liquids,"Energy Prices: Average Price to All Users: Coal to Liquids": Reference case,,"2010 $/mill Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Electricity,"Energy Prices: Average Price to All Users: Electricity": Reference case,,"2010 $/mill Btu",46.481701,43.721676,42.046879,40.909901,39.418106,38.188736,37.671349,37.491028,37.051235,36.921352,37.25985,37.649738,37.882885,38.459045,38.996105,39.473465,39.382355,39.296955,39.159706,39.567543,39.791107,39.854382,39.934963,40.308495,40.786308,41.516193,42.141598,"-0.1%"
Non-Renewable Energy Expenditures by Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(billion 2010 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,"Energy Expenditures: Non-Renewable Residential": Reference case,,"bill 2010 $",16.729078,16.395542,18.678049,18.784367,17.114975,17.010136,16.934914,16.740053,16.581924,16.470808,16.427094,16.404325,16.397474,16.43914,16.485367,16.585928,16.668436,16.74408,16.76915,16.840885,16.877941,16.898317,16.962925,17.015636,16.963161,17.090662,17.213696,"0.2%"
Commercial,"Energy Expenditures: Non-Renewable Commercial": Reference case,,"bill 2010 $",10.249039,10.045197,9.611465,9.777827,9.176392,9.125195,9.175927,9.230434,9.251905,9.340312,9.504111,9.661686,9.805113,10.011516,10.16902,10.287483,10.313541,10.329188,10.324017,10.452542,10.555546,10.640283,10.751885,10.90943,11.058091,11.307629,11.546141,"0.6%"
Industrial,"Energy Expenditures: Non-Renewable Industrial": Reference case,,"bill 2010 $",5.784801,5.835588,5.457732,5.341186,4.922058,5.176735,5.309393,5.331853,5.297872,5.32696,5.416301,5.50791,5.623111,5.800508,5.879838,5.887054,5.851507,5.787142,5.709925,5.692388,5.66485,5.652937,5.668609,5.66889,5.659191,5.731606,5.803357,"-0.0%"
Transportation,"Energy Expenditures: Non-Renewable Transportation": Reference case,,"bill 2010 $",20.027857,23.565914,29.045574,28.305357,28.354097,29.602522,30.224794,30.317663,30.419077,30.248114,30.157211,30.167511,30.172106,30.171423,30.241619,30.31547,30.559355,30.682728,30.560007,30.705826,30.902983,31.074272,30.023638,29.069902,28.435884,28.411474,28.649937,"0.8%"
Total Non-Renewable Expenditures,"Energy Expenditures: Total Non-Renewable": Reference case,,"bill 2010 $",52.790771,55.842239,62.79282,62.20874,59.56752,60.914589,61.645027,61.620003,61.550781,61.386192,61.504719,61.741432,61.997803,62.422592,62.775845,63.075935,63.392838,63.54314,63.363098,63.691639,64.00132,64.265808,63.407059,62.663857,62.116325,62.541374,63.213131,"0.5%"
Transportation Renewable Expenditures,"Energy Expenditures: Renewable Transportation": Reference case,,"bill 2010 $",0.001929,0.002961,0.003742,0.004028,0.007846,0.008971,0.009908,0.010675,0.011436,0.012117,0.012822,0.013527,0.014179,0.014803,0.015455,0.016082,0.016771,0.017378,0.017821,0.018353,0.018891,0.1034,1.445684,2.644033,2.69636,2.750253,2.830838,"31.6%"
Total Expenditures,"Energy Expenditures: Total Non-Renewable with Renewable Transportation": Reference case,,"bill 2010 $",52.792702,55.8452,62.796562,62.212769,59.575367,60.923561,61.654934,61.63068,61.562218,61.398308,61.51754,61.754959,62.011982,62.437393,62.791298,63.092018,63.409607,63.56052,63.38092,63.709991,64.02021,64.369209,64.852745,65.307892,64.812683,65.291626,66.043968,"0.7%"
Prices in Nominal Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Nominal: Residential: Liquefied Petroleum Gases": Reference case,,"nom $/mill Btu",28.601122,31.108349,34.511093,34.310242,19.268396,20.240843,21.112148,21.105061,21.733088,22.23893,22.819048,23.450399,24.140575,24.942341,25.661831,26.363014,27.116323,27.861712,28.648304,29.468601,30.469007,31.494713,32.603165,33.712368,34.708958,35.950588,37.151329,"0.7%"
Distillate Fuel Oil,"Energy Prices: Nominal: Residential: Distillate Fuel Oil": Reference case,,"nom $/mill Btu",18.095972,21.115971,26.775848,27.341805,25.964554,27.903507,29.258095,30.18388,31.151108,32.016838,32.774708,33.685455,34.562969,35.399742,36.283405,37.209911,38.393932,39.507683,40.477779,41.627682,42.977207,44.430901,46.442417,48.111717,48.331249,49.757061,51.568745,"3.6%"
Natural Gas,"Energy Prices: Nominal: Residential: Natural Gas": Reference case,,"nom $/mill Btu",14.729214,14.391101,13.27357,13.59902,13.531008,13.428234,13.865093,14.140689,14.425916,14.842996,15.258823,15.751464,16.382751,17.045998,17.606323,18.062378,18.626972,19.209703,19.75152,20.331001,20.956745,21.665453,22.485966,23.313301,24.048779,25.087875,26.092724,"2.4%"
Electricity,"Energy Prices: Nominal: Residential: Electricity": Reference case,,"nom $/mill Btu",51.208385,47.584408,52.608345,53.594372,53.195461,52.669838,52.966244,53.327858,53.358402,53.72591,54.658978,55.771927,56.712608,58.115067,59.79752,61.827972,63.744087,65.920815,67.955849,70.324852,72.32,74.042793,75.871101,78.065849,80.058327,82.646126,85.096222,"2.4%"
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Nominal: Commercial: Liquefied Petroleum Gases": Reference case,,"nom $/mill Btu",20.857811,22.81279,22.750721,22.536598,26.556738,27.644527,28.647308,28.775105,29.536528,30.180065,30.89727,31.668528,32.497635,33.443905,34.313648,35.17004,36.088882,37.011116,37.984901,39.002182,40.209259,41.447235,42.788792,44.135769,45.334393,46.797424,48.223888,"3.0%"
Distillate Fuel Oil,"Energy Prices: Nominal: Commercial: Distillate Fuel Oil": Reference case,,"nom $/mill Btu",16.299929,20.858877,26.460838,27.004906,24.094965,26.091709,27.439564,28.33984,29.274626,30.144817,30.851437,31.706369,32.56599,33.390347,34.26152,35.177986,36.40704,37.494312,38.300552,39.425465,40.729816,42.169037,44.157928,45.879589,45.951294,47.091244,48.850338,"3.5%"
Residual Fuel,"Energy Prices: Nominal: Commercial: Residual Fuel": Reference case,,"nom $/mill Btu",13.504203,10.935056,15.750499,16.224222,15.03901,16.730726,18.128643,19.05163,19.724432,20.279715,20.895763,21.443838,22.0807,22.336748,22.944,23.568367,24.220898,24.895435,25.593611,26.383383,27.35022,28.032497,28.944712,28.40765,28.618591,29.63019,30.944025,"4.2%"
Natural Gas,"Energy Prices: Nominal: Commercial: Natural Gas": Reference case,,"nom $/mill Btu",12.045593,11.12349,10.656529,10.87802,10.767841,10.715016,11.039368,11.202864,11.376179,11.679252,11.985005,12.367092,12.883216,13.426749,13.865591,14.197861,14.630584,15.070733,15.469184,15.895981,16.360132,16.900564,17.538105,18.174952,18.733719,19.582249,20.395416,"2.5%"
Electricity,"Energy Prices: Nominal: Commercial: Electricity": Reference case,,"nom $/mill Btu",44.628963,43.147419,40.014835,38.791569,36.998615,36.287189,36.333012,36.936035,37.17392,37.824631,39.08456,40.36591,41.419998,43.027721,44.421257,45.616024,45.906086,46.173222,46.406109,47.682228,48.80883,49.771515,50.905869,52.590164,54.325298,56.558697,58.719501,"1.2%"
Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Nominal: Industrial: Liquefied Petroleum Gases": Reference case,,"nom $/mill Btu",25.127645,27.611874,30.275957,30.356144,38.146492,39.61795,40.986923,41.220097,42.276249,43.181297,44.181801,45.253983,46.400875,47.702843,48.908203,50.098652,51.375435,52.662239,54.021217,55.441578,57.11351,58.828392,60.688286,62.557541,64.216171,66.228165,68.194763,"3.7%"
Distillate Fuel Oil,"Energy Prices: Nominal: Industrial: Distillate Fuel Oil": Reference case,,"nom $/mill Btu",16.469368,20.944574,26.565842,27.129028,23.026888,25.095407,26.45804,27.341623,28.264669,29.125429,29.804489,30.629162,31.485781,32.312077,33.185337,34.105289,35.374996,36.459545,37.170387,38.292538,39.581966,41.024601,43.030472,44.806599,44.739235,45.705711,47.448517,"3.3%"
Residual Fuel Oil,"Energy Prices: Nominal: Industrial: Residual Fuel Oil": Reference case,,"nom $/mill Btu",13.199215,10.677962,15.400488,15.869595,15.03901,16.730726,18.128643,19.05163,19.724432,20.279715,20.895763,21.443838,22.0807,22.336748,22.944,23.568367,24.220898,24.895435,25.593611,26.383383,27.35022,28.032497,28.944712,28.40765,28.618591,29.63019,30.944025,"4.3%"
Natural Gas,"Energy Prices: Nominal: Industrial: Natural Gas": Reference case,,"nom $/mill Btu",7.633579,7.96979,6.830738,6.322677,6.349854,6.498186,6.729927,6.797908,6.880119,7.08711,7.30286,7.582759,7.987281,8.415092,8.745773,8.980598,9.315563,9.64605,9.941073,10.253428,10.592885,11.005116,11.498205,11.982404,12.405182,13.095448,13.743752,"2.2%"
Metallurgical Coal,"Energy Prices: Nominal: Industrial: Metallurgical Coal": Reference case,,"nom $/mill Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Other Industrial Coal,"Energy Prices: Nominal: Industrial: Other Industrial Coal": Reference case,,"nom $/mill Btu",6.053165,5.56076,6.329377,6.780758,6.694706,6.96716,7.214501,7.34482,7.590643,7.63759,7.77267,7.941214,8.072505,8.116572,8.385676,8.483165,8.625737,8.784973,9.028757,9.330369,9.509668,9.744415,10.06057,10.268157,10.496864,10.808719,11.149282,"2.8%"
Coal to Liquids,"Energy Prices: Nominal: Industrial: Coal to Liquids": Reference case,,"nom $/mill Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Electricity,"Energy Prices: Nominal: Industrial: Electricity": Reference case,,"nom $/mill Btu",39.388336,38.041035,31.209152,29.59934,28.110191,27.749685,28.103544,28.791674,29.183947,29.89719,31.042585,32.270542,33.416401,34.911171,36.18589,36.98534,36.831562,36.572418,36.497055,37.414585,38.348862,39.208111,40.207436,41.620697,43.21244,45.241161,47.197914,"0.9%"
Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Nominal: Transportation: Liquefied Petroleum Gases": Reference case,,"nom $/mill Btu",23.636593,30.285648,33.496059,33.335014,27.470098,28.567501,29.58124,29.720274,30.492813,31.147827,31.876457,32.659374,33.500057,34.458363,35.34063,36.209957,37.142597,38.079567,39.068954,40.102642,41.326946,42.582615,43.943596,45.310387,46.525845,48.007328,49.452602,"2.0%"
E85,"Energy Prices: Nominal: Transportation: E85": Reference case,,"nom $/mill Btu",25.364859,27.903248,36.68116,35.923801,29.585194,31.509247,32.904987,33.826984,34.851051,35.630283,36.522099,37.54533,38.504566,39.33905,40.366241,41.418446,42.671528,43.817101,44.582516,45.825527,47.21928,46.50444,47.733139,49.835026,50.724247,52.042004,53.561646,"2.6%"
Motor Gasoline,"Energy Prices: Nominal: Transportation: Motor Gasoline": Reference case,,"nom $/mill Btu",19.671743,23.138441,29.470934,28.884438,29.56966,31.492702,32.887711,33.809219,34.832752,35.611576,36.502918,37.52562,38.484352,39.318394,40.345047,41.396694,42.649124,43.794098,44.559105,45.801464,47.194496,48.686726,50.536469,52.401184,52.262691,53.295628,54.865955,"3.5%"
Jet Fuel,"Energy Prices: Nominal: Transportation: Jet Fuel": Reference case,,"nom $/mill Btu",12.877282,16.59112,23.293238,22.979883,23.290968,25.170189,26.461971,27.309341,28.239273,28.926233,29.618093,30.48213,31.299603,32.08255,32.879204,33.744713,34.817142,35.809807,36.752777,37.764099,39.041603,40.388615,42.273079,43.853897,44.086864,45.457581,47.161987,"4.3%"
Diesel Fuel (distillate fuel oil),"Energy Prices: Nominal: Transportation: Diesel Fuel": Reference case,,"nom $/mill Btu",18.977049,21.990089,28.455902,28.458881,27.910543,30.084553,31.529402,32.478851,33.476292,34.422447,35.158829,36.038155,36.973103,37.874035,38.823257,39.819637,41.227654,42.387173,43.109509,44.319908,45.692345,47.276558,49.425831,51.408653,51.348175,52.3377,54.195663,"3.7%"
Residual Fuel Oil,"Energy Prices: Nominal: Transportation: Residual Fuel Oil": Reference case,,"nom $/mill Btu",9.895176,8.004187,11.550365,11.880032,16.562338,18.210253,19.329672,20.000797,20.780088,21.325642,21.947987,22.567091,23.081923,24.019274,24.622259,25.000578,25.693361,26.145191,26.565531,27.361219,28.0096,29.003555,29.762354,30.529478,30.296335,31.254366,32.13884,"5.7%"
Natural Gas,"Energy Prices: Nominal: Transportation: Natural Gas": Reference case,,"nom $/mill Btu",17.952015,16.210184,15.455713,15.127208,15.247598,15.52368,15.881152,16.064894,16.257586,16.575005,16.904425,17.295721,17.805525,18.344021,18.795242,19.160526,19.637459,20.115726,20.574434,21.053936,21.565954,22.155989,22.842752,23.521328,24.106335,24.969812,25.795069,"1.9%"
Electricity,"Energy Prices: Nominal: Transportation: Electricity": Reference case,,"nom $/mill Btu",43.202137,39.277969,42.959625,43.5233,43.043758,42.390965,42.731659,43.009365,42.907242,43.15572,43.953487,44.854431,45.663361,46.877178,48.406723,50.113071,51.709522,53.978222,56.032257,58.454247,60.677601,62.680729,64.854904,67.275345,69.346519,72.189934,74.892899,"2.6%"
Electric Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distillate Fuel Oil,"Energy Prices: Nominal: Electric Power: Distillate Fuel Oil": Reference case,,"nom $/mill Btu",14.503888,18.425055,23.380739,23.866453,21.786194,23.623098,24.881622,25.720085,26.600931,27.270325,27.949631,28.781342,29.558773,30.286543,31.057133,31.866795,32.901207,33.881458,34.776741,35.781807,36.986759,38.282967,40.085918,41.536633,41.78323,43.161114,44.811752,"3.6%"
Residual Fuel Oil,"Energy Prices: Nominal: Electric Power: Residual Fuel Oil": Reference case,,"nom $/mill Btu",7.844976,9.203958,13.335423,13.014841,12.725607,14.344718,15.538733,16.270481,16.942606,17.433769,17.994459,18.520269,19.03297,19.588232,20.128887,20.556396,21.159376,21.640156,22.110922,22.819489,23.529049,24.285624,25.016716,25.069059,24.958128,25.846535,26.836155,"4.4%"
Natural Gas,"Energy Prices: Nominal: Electric Power: Natural Gas": Reference case,,"nom $/mill Btu",4.878391,5.427378,5.158691,4.891434,4.780725,4.7989,5.03713,5.073783,5.131586,5.314906,5.507226,5.766304,6.100595,6.492056,6.79232,7.001438,7.316099,7.617085,7.894464,8.171317,8.482981,8.841628,9.270252,9.684429,10.08626,10.713998,11.302986,"3.0%"
Steam Coal,"Energy Prices: Nominal: Electric Power: Steam Coal": Reference case,,"nom $/mill Btu",3.151516,3.233848,3.59507,3.709884,3.572556,3.60765,3.734807,3.766498,3.835837,3.905989,3.977546,4.024374,4.073618,4.134586,4.246502,4.343714,4.446456,4.547475,4.654179,4.795931,4.941611,5.082226,5.230623,5.390277,5.501366,5.680384,5.884078,"2.4%"
Average Price to All Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Nominal: Average Price to All Users: Liquefied Petroleum Gases": Reference case,,"nom $/mill Btu",24.773167,27.053467,29.381834,29.221504,22.07324,23.057037,23.983931,24.03507,24.698471,25.234144,25.850029,26.518745,27.255552,28.122498,28.912144,29.6735,30.486593,31.304918,32.166641,33.056221,34.137165,35.253185,36.460014,37.666504,38.749813,40.091274,41.387829,"1.7%"
E85,"Energy Prices: Nominal: Average Price to All Users: E85": Reference case,,"nom $/mill Btu",25.364859,27.903248,36.68116,35.923801,29.585194,31.509247,32.904987,33.826984,34.851051,35.630283,36.522099,37.54533,38.504566,39.33905,40.366241,41.418446,42.671528,43.817101,44.582516,45.825527,47.21928,46.50444,47.733139,49.835026,50.724247,52.042004,53.561646,"2.6%"
Motor Gasoline,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": Reference case,,"nom $/mill Btu",19.641829,23.070896,29.372253,28.822104,29.569658,31.492702,32.887711,33.809219,34.832752,35.61158,36.502922,37.52562,38.484352,39.318394,40.345047,41.39669,42.649128,43.794102,44.559105,45.801464,47.194496,48.686726,50.536465,52.401184,52.262703,53.295624,54.865952,"3.5%"
Jet Fuel,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": Reference case,,"nom $/mill Btu",12.877282,16.59112,23.293238,22.979883,23.290968,25.170189,26.461971,27.309341,28.239273,28.926233,29.618093,30.48213,31.299603,32.08255,32.879204,33.744713,34.817142,35.809807,36.752777,37.764099,39.041603,40.388615,42.273079,43.853897,44.086864,45.457581,47.161987,"4.3%"
Distillate Fuel Oil,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": Reference case,,"nom $/mill Btu",18.079668,21.380684,27.325819,27.690224,26.341562,28.398111,29.806288,30.759642,31.74976,32.6586,33.406792,34.303642,35.214516,36.094212,37.018425,37.986908,39.281361,40.434109,41.284096,42.477329,43.850975,45.364815,47.458183,49.286205,49.33532,50.496059,52.331867,"3.6%"
Residual Fuel Oil,"Energy Prices: Nominal: Average Price to All Users: Residual Fuel Oil": Reference case,,"nom $/mill Btu",11.185757,9.930164,14.459322,14.911181,15.119613,16.802158,18.115294,18.962362,19.655544,20.200586,20.81119,21.371498,21.968193,22.401203,23.000088,23.550804,24.206356,24.812387,25.426506,26.208107,27.077368,27.834505,28.693462,28.50152,28.582876,29.569706,30.756329,"4.6%"
Natural Gas,"Energy Prices: Nominal: Average Price to All Users: Natural Gas": Reference case,,"nom $/mill Btu",9.047443,8.638514,8.307418,8.186511,8.12551,8.052315,8.301913,8.438314,8.558317,8.77862,9.035764,9.326203,9.827563,10.285427,10.648439,10.926506,11.29134,11.680167,12.001231,12.363793,12.766368,13.267956,13.86573,14.435834,14.878973,15.626662,16.353596,"2.6%"
Metallurgical Coal,"Energy Prices: Nominal: Average Price to All Users: Metallurgical Coal": Reference case,,"nom $/mill Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Other Coal,"Energy Prices: Nominal: Average Price to All Users: Other Coal": Reference case,,"nom $/mill Btu",3.191582,3.266222,3.636788,3.75688,3.645841,3.70822,3.875333,3.90594,4.005123,4.074879,4.132674,4.165407,4.214013,4.276001,4.394239,4.491813,4.596638,4.700352,4.812669,4.958036,5.104692,5.248517,5.402399,5.563606,5.679021,5.86272,6.07094,"2.5%"
Coal to Liquids,"Energy Prices: Nominal: Average Price to All Users: Coal to Liquids": Reference case,,"nom $/mill Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Electricity,"Energy Prices: Nominal: Average Price to All Users: Electricity": Reference case,,"nom $/mill Btu",45.950718,43.721676,42.932407,42.32246,41.08316,40.43177,40.592281,41.12109,41.345505,41.927574,43.042397,44.246067,45.272659,46.755932,48.246742,49.713448,50.53096,51.415169,52.283878,53.94294,55.423721,56.721642,58.167538,60.082161,61.972736,64.396225,66.726555,"1.7%"
Non-Renewable Energy Expenditures by Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(billion nominal dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,"Energy Expenditures: Nominal: Non-Renewable Residential": Reference case,,"bill nom $",16.537975,16.395542,19.071417,19.432964,17.837927,18.009235,18.247999,18.360905,18.503782,18.704111,18.976498,19.278404,19.596111,19.985607,20.396017,20.888557,21.387041,21.907543,22.389244,22.959396,23.508728,24.05006,24.70746,25.362797,25.774668,26.509514,27.255981,"2.1%"
Commercial,"Energy Expenditures: Nominal: Non-Renewable Commercial": Reference case,,"bill nom $",10.131959,10.045197,9.813888,10.115441,9.564011,9.661168,9.887403,10.124169,10.324209,10.606779,10.979103,11.354437,11.717785,12.17133,12.581309,12.956204,13.233164,13.514456,13.784058,14.250085,14.702472,15.143486,15.66073,16.261141,16.802212,17.539387,18.282036,"2.4%"
Industrial,"Energy Expenditures: Nominal: Non-Renewable Industrial": Reference case,,"bill nom $",5.718719,5.835588,5.572675,5.525609,5.12997,5.480793,5.721068,5.848109,5.911899,6.049251,6.256885,6.472909,6.720005,7.05187,7.27465,7.414241,7.507988,7.571754,7.623576,7.760505,7.890383,8.045385,8.25665,8.449811,8.598855,8.890358,9.188973,"1.8%"
Transportation,"Energy Expenditures: Nominal: Non-Renewable Transportation": Reference case,,"bill nom $",19.79907,23.565914,29.65729,29.282698,29.5518,31.34124,32.56834,33.253166,33.944672,34.349503,34.837463,35.45293,36.057743,36.680397,37.415524,38.179737,39.210289,40.144527,40.802036,41.861645,43.043747,44.225594,43.731133,43.330387,43.20689,44.069347,45.364006,"2.7%"
Total Non-Renewable Expenditures,"Energy Expenditures: Nominal: Total Non-Renewable": Reference case,,"bill nom $",52.187717,55.842239,64.115265,64.35672,62.083706,64.492439,66.424812,67.586349,68.68457,69.709641,71.04995,72.558685,74.091644,75.889206,77.667503,79.438744,81.338478,83.138283,84.598915,86.831627,89.145332,91.464516,92.35598,93.404137,94.382622,97.008606,100.090996,"2.4%"
Transportation Renewable Expenditures,"Energy Expenditures: Nominal: Renewable Transportation": Reference case,,"bill nom $",0.001907,0.002961,0.003821,0.004167,0.008178,0.009498,0.010677,0.011709,0.012761,0.01376,0.014812,0.015897,0.016945,0.017996,0.019121,0.020253,0.021519,0.022737,0.023794,0.025021,0.026313,0.147162,2.105721,3.941085,4.096983,4.265948,4.482319,"34.0%"
