"Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2012&region=1-1&cases=ref2012&start=2009&end=2035&f=A&linechart=ref2012-d020112c.3-3-AEO2012.1-1~ref2012-d020112c.4-3-AEO2012.1-1~ref2012-d020112c.5-3-AEO2012.1-1~ref2012-d020112c.6-3-AEO2012.1-1~ref2012-d020112c.9-3-AEO2012.1-1~ref2012-d020112c.10-3-AEO2012.1-1~ref2012-d020112c.11-3-AEO2012.1-1~ref2012-d020112c.12-3-AEO2012.1-1~ref2012-d020112c.13-3-AEO2012.1-1~ref2012-d020112c.16-3-AEO2012.1-1~ref2012-d020112c.17-3-AEO2012.1-1~ref2012-d020112c.18-3-AEO2012.1-1~ref2012-d020112c.19-3-AEO2012.1-1~ref2012-d020112c.20-3-AEO2012.1-1~ref2012-d020112c.21-3-AEO2012.1-1~ref2012-d020112c.22-3-AEO2012.1-1~ref2012-d020112c.23-3-AEO2012.1-1~ref2012-d020112c.27-3-AEO2012.1-1~ref2012-d020112c.28-3-AEO2012.1-1~ref2012-d020112c.29-3-AEO2012.1-1~ref2012-d020112c.30-3-AEO2012.1-1~ref2012-d020112c.31-3-AEO2012.1-1~ref2012-d020112c.32-3-AEO2012.1-1~ref2012-d020112c.33-3-AEO2012.1-1~ref2012-d020112c.34-3-AEO2012.1-1~ref2012-d020112c.37-3-AEO2012.1-1~ref2012-d020112c.38-3-AEO2012.1-1~ref2012-d020112c.39-3-AEO2012.1-1~ref2012-d020112c.40-3-AEO2012.1-1~ref2012-d020112c.45-3-AEO2012.1-1~ref2012-d020112c.46-3-AEO2012.1-1~ref2012-d020112c.47-3-AEO2012.1-1~ref2012-d020112c.48-3-AEO2012.1-1~ref2012-d020112c.49-3-AEO2012.1-1~ref2012-d020112c.50-3-AEO2012.1-1~ref2012-d020112c.51-3-AEO2012.1-1~ref2012-d020112c.52-3-AEO2012.1-1~ref2012-d020112c.53-3-AEO2012.1-1~ref2012-d020112c.54-3-AEO2012.1-1~ref2012-d020112c.55-3-AEO2012.1-1~ref2012-d020112c.70-3-AEO2012.1-1~ref2012-d020112c.71-3-AEO2012.1-1~ref2012-d020112c.72-3-AEO2012.1-1~ref2012-d020112c.73-3-AEO2012.1-1~ref2012-d020112c.76-3-AEO2012.1-1~ref2012-d020112c.77-3-AEO2012.1-1~ref2012-d020112c.78-3-AEO2012.1-1~ref2012-d020112c.79-3-AEO2012.1-1~ref2012-d020112c.80-3-AEO2012.1-1~ref2012-d020112c.83-3-AEO2012.1-1~ref2012-d020112c.84-3-AEO2012.1-1~ref2012-d020112c.85-3-AEO2012.1-1~ref2012-d020112c.86-3-AEO2012.1-1~ref2012-d020112c.87-3-AEO2012.1-1~ref2012-d020112c.88-3-AEO2012.1-1~ref2012-d020112c.89-3-AEO2012.1-1~ref2012-d020112c.90-3-AEO2012.1-1~ref2012-d020112c.95-3-AEO2012.1-1~ref2012-d020112c.96-3-AEO2012.1-1~ref2012-d020112c.97-3-AEO2012.1-1~ref2012-d020112c.98-3-AEO2012.1-1~ref2012-d020112c.99-3-AEO2012.1-1~ref2012-d020112c.100-3-AEO2012.1-1~ref2012-d020112c.101-3-AEO2012.1-1~ref2012-d020112c.102-3-AEO2012.1-1~ref2012-d020112c.105-3-AEO2012.1-1~ref2012-d020112c.106-3-AEO2012.1-1~ref2012-d020112c.107-3-AEO2012.1-1~ref2012-d020112c.108-3-AEO2012.1-1~ref2012-d020112c.112-3-AEO2012.1-1~ref2012-d020112c.113-3-AEO2012.1-1~ref2012-d020112c.114-3-AEO2012.1-1~ref2012-d020112c.115-3-AEO2012.1-1~ref2012-d020112c.116-3-AEO2012.1-1~ref2012-d020112c.117-3-AEO2012.1-1~ref2012-d020112c.118-3-AEO2012.1-1~ref2012-d020112c.119-3-AEO2012.1-1~ref2012-d020112c.120-3-AEO2012.1-1~ref2012-d020112c.121-3-AEO2012.1-1~ref2012-d020112c.122-3-AEO2012.1-1&sourcekey=0"
"Wed May 27 2026 16:35:17 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2010-2035)"
Distillate Fuel Oil,"Energy Prices: Industrial: Distillate Fuel Oil": Reference case,,"2010 $/mill Btu",16.659678,20.944574,26.017893,26.223568,22.093634,23.70319,24.554178,24.927975,25.329016,25.647802,25.800394,26.062881,26.346416,26.578266,26.822514,27.080276,27.570238,27.866274,27.839968,28.087858,28.41762,28.825155,29.542603,30.06028,29.44437,29.466434,29.966423,"1.4%"
Residual Fuel Oil,"Energy Prices: Industrial: Residual Fuel Oil": Reference case,,"2010 $/mill Btu",13.351738,10.677962,15.082836,15.33993,14.429495,15.802555,16.824146,17.369802,17.675793,17.858282,18.088514,18.246931,18.476507,18.37307,18.544809,18.713751,18.877062,19.027746,19.169165,19.352406,19.635916,19.696501,19.872011,19.058395,18.834843,19.10256,19.542904,"2.4%"
Natural Gas,"Energy Prices: Industrial: Natural Gas": Reference case,,"2010 $/mill Btu",7.721788,7.96979,6.689847,6.11165,6.092501,6.137686,6.245656,6.197807,6.165529,6.240897,6.321754,6.4523,6.683532,6.921826,7.068894,7.130774,7.260278,7.37254,7.445689,7.520965,7.605094,7.732535,7.894101,8.03887,8.164261,8.442625,8.679957,"0.3%"
Metallurgical Coal,"Energy Prices: Industrial: Metallurgical Coal": Reference case,,"2010 $/mill Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Other Industrial Coal,"Energy Prices: Industrial: Other Industrial Coal": Reference case,,"2010 $/mill Btu",6.123112,5.56076,6.198826,6.554443,6.423378,6.580642,6.695361,6.696438,6.802256,6.725648,6.728447,6.757316,6.754845,6.676278,6.777841,6.735802,6.722648,6.714414,6.76238,6.843894,6.827405,6.846728,6.907091,6.8888,6.908334,6.968372,7.041403,"0.9%"
Coal to Liquids,"Energy Prices: Industrial: Coal to Liquids": Reference case,,"2010 $/mill Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Electricity,"Energy Prices: Industrial: Electricity": Reference case,,"2010 $/mill Btu",39.843487,38.041035,30.56543,28.611429,26.970915,26.210215,26.081274,26.250019,26.152813,26.327414,26.872158,27.45956,27.961905,28.71615,29.247753,29.367092,28.705446,27.952543,27.335653,27.443874,27.53232,27.548832,27.604445,27.922892,28.439537,29.166941,29.808155,"-1.0%"
Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Transportation: Liquefied Petroleum Gases": Reference case,,"2010 $/mill Btu",23.909723,30.285648,32.805168,32.22242,26.356766,26.98266,27.452639,27.096645,27.325739,27.428722,27.594002,27.790424,28.031904,28.343693,28.56456,28.751423,28.947857,29.104465,29.261961,29.415583,29.670418,29.919865,30.169508,30.398266,30.620197,30.950287,31.232117,"0.1%"
E85,"Energy Prices: Transportation: E85": Reference case,,"2010 $/mill Btu",25.657961,27.903248,35.924572,34.724804,28.386139,29.761208,30.537218,30.840826,31.231316,31.375965,31.615522,31.947969,32.219536,32.358295,32.626583,32.88707,33.256943,33.4897,33.391518,33.613361,33.900784,32.675461,32.771221,33.4338,33.383308,33.551437,33.827209,"0.8%"
Motor Gasoline,"Energy Prices: Transportation: Motor Gasoline": Reference case,,"2010 $/mill Btu",19.899059,23.138441,28.863064,27.920387,28.371235,29.745581,30.521183,30.824631,31.214918,31.359491,31.598921,31.931194,32.202621,32.341305,32.609451,32.869797,33.239483,33.472118,33.373985,33.595711,33.882988,34.208801,34.695847,35.155407,34.395809,34.35965,34.650955,"1.6%"
Jet Fuel,"Energy Prices: Transportation: Jet Fuel": Reference case,,"2010 $/mill Btu",13.026085,16.59112,22.81279,22.212904,22.34701,23.773823,24.557827,24.898544,25.306257,25.472391,25.63904,25.937769,26.190626,26.389469,26.575077,26.79397,27.135464,27.369673,27.527185,27.700245,28.029671,28.378292,29.022614,29.421122,29.015024,29.306467,29.785465,"2.4%"
Diesel Fuel (distillate fuel oil),"Energy Prices: Transportation: Diesel Fuel": Reference case,,"2010 $/mill Btu",19.196337,21.990089,27.868967,27.509035,26.77936,28.41555,29.260614,29.611704,29.999344,30.312347,30.435404,30.665487,30.938049,31.15325,31.379442,31.617582,32.13163,32.396797,32.288265,32.50898,32.804527,33.217976,33.933338,34.489529,33.793934,33.742073,34.227627,"1.8%"
