period,history,scenario,scenarioDescription,tableId,tableName,seriesId,seriesName,regionId,regionName,value,unit,aeo_vintage
2023,PROJECTION,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,5.420061,2012 $/mill Btu,2014
2022,PROJECTION,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,5.294342,2012 $/mill Btu,2014
2021,PROJECTION,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,5.242337,2012 $/mill Btu,2014
2020,PROJECTION,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,5.074411,2012 $/mill Btu,2014
2019,PROJECTION,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,5.17942,2012 $/mill Btu,2014
2018,PROJECTION,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,5.062103,2012 $/mill Btu,2014
2017,PROJECTION,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,4.690567,2012 $/mill Btu,2014
2016,PROJECTION,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,4.474802,2012 $/mill Btu,2014
2015,PROJECTION,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,4.428498,2012 $/mill Btu,2014
2014,PROJECTION,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,4.469414,2012 $/mill Btu,2014
2013,HISTORIC,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,4.320632,2012 $/mill Btu,2014
2012,HISTORIC,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,3.437873,2012 $/mill Btu,2014
2011,HISTORIC,ref2014,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_na_ng_na_na_y12dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,4.881901,2012 $/mill Btu,2014
